Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
VLM Away Onfield Stretch Fit Cap- L,2,53.98,6.0,59.98,0.0,2023-05-25
Replica Tie-Dye Jersey- M,1,80.0,0.0,80.0,0.0,2023-05-25
VT Expos Logo Baseball,1,8.0,0.0,8.0,0.88,2023-05-25
Bottled Water,30,67.8,0.0,67.8,7.2,2023-05-25
Gear Tee- Heather Kelly Green- L,2,57.98,0.0,57.98,0.0,2023-05-25
Hot Dog,122,410.67,1.69,412.36,44.95,2023-05-25
Movie Candy,6,21.66,0.0,21.66,2.34,2023-05-25
Emp chz,6,32.4,0.0,32.4,3.6,2023-05-25
Mushroom Pizza,10,126.2,0.0,126.2,13.8,2023-05-25
Agrumata Italian Soda,1,4.06,0.0,4.06,0.44,2023-05-25
Cheese Pizza,21,227.01,0.0,227.01,24.99,2023-05-25
Pepperoni Pizza,29,365.98,0.0,365.98,40.02,2023-05-25
Emp pep,11,59.4,0.0,59.4,6.6,2023-05-25
Cedrata Italian Soda,7,28.42,0.0,28.42,3.08,2023-05-25
Deep River Chips,16,43.36,0.0,43.36,4.64,2023-05-25
Powerade,11,33.18,1.58,34.76,3.57,2023-05-25
Cracker Jacks,5,20.3,2.25,22.55,2.2,2023-05-25
Popcorn,20,72.2,0.0,72.2,7.8,2023-05-25
Cheeseburger,29,198.29,10.8,209.09,21.71,2023-05-25
Season Ticket Holder Soda,35,31.5,0.0,31.5,3.5,2023-05-25
Italian Sausage w/ Peppers & Onions,22,151.42,7.2,158.62,16.58,2023-05-25
Hot Coffee,5,13.55,0.0,13.55,1.45,2023-05-25
Double Cheeseburger,7,78.82,0.0,78.82,8.68,2023-05-25
Soft Pretzel,42,171.87,2.25,174.12,18.63,2023-05-25
802 Bar,1,3.61,0.0,3.61,0.39,2023-05-25
Bottled Soda,70,218.04,3.16,221.2,23.46,2023-05-25
Peanuts,4,14.44,0.0,14.44,1.56,2023-05-25
"Footlong ""Monster"" Dog",34,168.3,0.0,168.3,18.7,2023-05-25
Cotton Candy,13,46.93,0.0,46.93,5.07,2023-05-25
Veggie Burger,8,50.4,0.0,50.4,5.6,2023-05-25
Large Champ Logo Stretch Fit Cap- Navy- L,1,29.99,0.0,29.99,0.0,2023-05-25
White Souvenir Baseball,5,39.2,0.8,40.0,4.31,2023-05-25
Document Tee- Vintage Smoke- L,2,53.98,0.0,53.98,0.0,2023-05-25
OC Camo Mesh Trucker,1,23.99,0.0,23.99,0.0,2023-05-25
6 Sticker Pack,1,6.0,0.0,6.0,0.66,2023-05-25
VLM Foam Claw,3,26.97,0.0,26.97,2.97,2023-05-25
3 sticker pack,1,6.0,0.0,6.0,0.66,2023-05-25
Original Clean-Up,1,28.99,0.0,28.99,0.0,2023-05-25
New Duds Maple Kings Primary Tee- Vintage Black- L,1,25.99,0.0,25.99,0.0,2023-05-25
Champ Play Ball,1,4.49,0.5,4.99,0.49,2023-05-25
Document Tee- Vintage Smoke- XL,1,26.99,0.0,26.99,0.0,2023-05-25
Champ Logo Tee Vintage Black- 3XL,1,25.99,0.0,25.99,0.0,2023-05-25
All-Star Tee- M,1,27.99,0.0,27.99,0.0,2023-05-25
VT State Patch,2,8.0,0.0,8.0,0.88,2023-05-25
Primary Logo Tee- Navy- 3XL,1,25.99,0.0,25.99,0.0,2023-05-25
Nike Quarter Zip- Black- L,2,130.0,0.0,130.0,0.0,2023-05-25
Primary Logo Tee- Gray- XL,1,25.99,0.0,25.99,0.0,2023-05-25
Maple Kings Stretch Fit Cap- Light Blue- L,1,29.99,0.0,29.99,0.0,2023-05-25
Champ Logo Tee Vintage Navy- S,1,23.39,2.6,25.99,0.0,2023-05-25
VLM #1 Foam Finger- Green,2,11.98,0.0,11.98,1.32,2023-05-25
Gear Tee- Heather Kelly Green- M,1,28.99,0.0,28.99,0.0,2023-05-25
Beer. Baseball. Tee- Vintage Navy-M,2,41.59,10.39,51.98,0.0,2023-05-25
Retro Sunset,2,13.98,0.0,13.98,1.54,2023-05-25
Champ Logo Hoodie- Graphite Heather- XL,1,49.99,0.0,49.99,0.0,2023-05-25
LM Shot glass,1,6.99,0.0,6.99,0.77,2023-05-25
Hot Dog Tee- Vintage Navy- L,1,25.99,0.0,25.99,0.0,2023-05-25
Beer. Baseball. Tee- Vintage Navy-L,1,25.99,0.0,25.99,0.0,2023-05-25
Replica twill cap,3,71.97,0.0,71.97,0.0,2023-05-25
VLM Away Onfield Stretch Fit Cap- XL,2,59.98,0.0,59.98,0.0,2023-05-25
Cross Bone Cap,2,57.98,0.0,57.98,0.0,2023-05-25
Beer. Baseball Tee- Royal- L,1,25.99,0.0,25.99,0.0,2023-05-25
Glow In The Dark Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-05-25
Champ Logo Pint Glass,1,11.99,0.0,11.99,1.32,2023-05-25
Retro Staple Crewneck- Heather White- XL,1,35.09,3.9,38.99,0.0,2023-05-25
Infant Alphabet Mascot Tee- 12 mo,1,15.99,0.0,15.99,0.0,2023-05-25
Dig In Bracelet,6,29.5,0.5,30.0,3.24,2023-05-25
Large Baseball Card Pack,1,9.99,0.0,9.99,1.1,2023-05-25
Champ Plush Doll,5,73.45,1.5,74.95,8.08,2023-05-25
Youth replicia twill hat,2,37.98,0.0,37.98,0.0,2023-05-25
Baseball Brim Cap,2,37.98,0.0,37.98,0.0,2023-05-25
Nike Quarter Zip- Black- S,1,65.0,0.0,65.0,0.0,2023-05-25
Maple Syrup,1,5.0,0.0,5.0,0.55,2023-05-25
Nike Dri-Fit Long Sleeve- Black- XXL,1,42.0,0.0,42.0,0.0,2023-05-25
Nike Franchise Polo-Black- XL,1,59.99,0.0,59.99,0.0,2023-05-25
Nike Dri-Fit Long Sleeve- Green- L,1,42.0,0.0,42.0,0.0,2023-05-25
Pen,2,3.98,0.0,3.98,0.44,2023-05-25
OC Walk Off Diamond Patch Black Cap,1,26.99,0.0,26.99,0.0,2023-05-25
Retro Staple Crewneck- Heather White- M,1,35.09,3.9,38.99,0.0,2023-05-25
Face Decal Sheet,1,5.0,0.0,5.0,0.55,2023-05-25
Retro Staple Crewneck- Heather White- 2XL,1,31.19,7.8,38.99,0.0,2023-05-25
Champ Pin,2,12.5,0.0,12.5,1.36,2023-05-25
Vermont Lake Monsters Shield,1,4.99,0.0,4.99,0.55,2023-05-25
Tie Dyed Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-05-25
Summer of Love Tee 2023- XL,2,55.08,2.9,57.98,0.0,2023-05-25
Long Trail Ale DFT,6,43.26,0.0,43.26,4.74,2023-05-26
Sprite BTL,2,6.32,0.0,6.32,0.68,2023-05-26
White Claw Mango,4,28.84,0.0,28.84,3.16,2023-05-26
Cracker Jacks,5,22.55,0.0,22.55,2.45,2023-05-26
Cutwater Tiki Rum Punch,9,97.29,0.0,97.29,10.71,2023-05-26
14th Star Baseline,22,158.62,0.0,158.62,17.38,2023-05-26
Devil's Backbone Margarita,6,64.86,0.0,64.86,7.14,2023-05-26
Deep River Chips,13,35.23,0.0,35.23,3.77,2023-05-26
Bud Light DFT,26,140.4,0.0,140.4,15.6,2023-05-26
Bottled Water,19,42.94,0.0,42.94,4.56,2023-05-26
Lemonade BTL,5,15.8,0.0,15.8,1.7,2023-05-26
Fiddlehead Wit DFT,6,43.26,0.0,43.26,4.74,2023-05-26
Whole Pickle,1,2.71,0.0,2.71,0.29,2023-05-26
Queen City Porter DFT,2,14.42,0.0,14.42,1.58,2023-05-26
Bottled Water,33,74.58,0.0,74.58,7.92,2023-05-26
Hot Dog,93,309.27,5.07,314.34,33.84,2023-05-26
Deep River Chips,2,5.4,0.0,5.4,0.6,2023-05-26
Stella Can,2,14.42,0.0,14.42,1.58,2023-05-26
Hot Dog & Soda,4,0.0,0.0,0.0,0.0,2023-05-26
Powerade,5,15.8,0.0,15.8,1.7,2023-05-26
Fries,141,570.43,2.03,572.46,61.82,2023-05-26
BBQ Chicken Sandwich,14,97.34,3.6,100.94,10.66,2023-05-26
Boneless Wings & Fries,43,345.58,4.05,349.63,37.92,2023-05-26
"Footlong ""Monster"" Dog",30,148.5,0.0,148.5,16.5,2023-05-26
Hamburger,10,64.13,3.37,67.5,7.12,2023-05-26
BBQ Pork Sandwich,12,86.52,0.0,86.52,9.48,2023-05-26
Cheeseburger,43,310.03,0.0,310.03,33.97,2023-05-26
Bottled Soda,81,255.82,0.0,255.82,27.68,2023-05-26
Double Cheeseburger,17,191.42,0.0,191.42,21.08,2023-05-26
Loaded Fries Chicken,9,81.09,0.0,81.09,8.91,2023-05-26
Loaded Fries Pork,14,121.64,4.5,126.14,13.36,2023-05-26
Italian Sausage w/ Peppers & Onions,17,122.57,0.0,122.57,13.43,2023-05-26
ZG Lake Monster Light DFT,31,167.4,0.0,167.4,18.6,2023-05-26
Youth Primary Logo Tee Royal-M,2,43.98,0.0,43.98,0.0,2023-05-26
ZG Conehead IPA DFT,12,86.52,0.0,86.52,9.48,2023-05-26
ZG Lake Monster Light DFT,94,564.0,0.0,564.0,0.0,2023-05-26
Kona Golden Ale DFT,27,162.0,0.0,162.0,0.0,2023-05-26
von Trapp Helles DFT,94,752.0,0.0,752.0,0.0,2023-05-26
Peanuts,10,40.0,0.0,40.0,0.0,2023-05-26
Long Trail Blackberry DFT,34,272.0,0.0,272.0,0.0,2023-05-26
Cutwater Tiki Rum Punch,5,60.0,0.0,60.0,0.0,2023-05-26
Barefoot Pinot Grigio,7,56.0,0.0,56.0,0.0,2023-05-26
Budweiser DFT,15,90.0,0.0,90.0,0.0,2023-05-26
Stella Can,6,48.0,0.0,48.0,0.0,2023-05-26
Bud Light DFT,31,186.0,0.0,186.0,0.0,2023-05-26
Citizen Cider DFT,67,536.0,0.0,536.0,0.0,2023-05-26
ZG Conehead IPA DFT,48,384.0,0.0,384.0,0.0,2023-05-26
White Claw Mango,11,88.0,0.0,88.0,0.0,2023-05-26
Hot Coffee,3,8.13,0.0,8.13,0.87,2023-05-26
Season Ticket Holder Soda,38,34.2,0.0,34.2,3.8,2023-05-26
Cheeseburger,78,559.68,10.8,570.48,61.32,2023-05-26
Movie Candy,2,7.22,0.0,7.22,0.78,2023-05-26
Garden Salad,3,21.63,0.0,21.63,2.37,2023-05-26
Hot Dog,292,970.66,18.55,989.21,106.2,2023-05-26
0.25 Hot Dog,2,0.46,0.0,0.46,0.04,2023-05-26
Italian Sausage w/ Peppers & Onions,42,299.22,3.6,302.82,32.78,2023-05-26
Hot Dog & Soda,4,0.0,0.0,0.0,0.0,2023-05-26
Soft Pretzel,115,462.38,4.06,466.44,50.12,2023-05-26
802 Bar,15,54.15,0.0,54.15,5.85,2023-05-26
Cracker Jacks,23,103.73,0.0,103.73,11.27,2023-05-26
Double Cheeseburger,20,220.93,5.63,226.56,24.32,2023-05-26
14th Star Mexican Lager DFT,22,176.0,0.0,176.0,0.0,2023-05-26
Bottled Soda,204,639.86,4.74,644.6,68.89,2023-05-26
Nutrl Watermelon Vodka,7,70.0,0.0,70.0,0.0,2023-05-26
Long Trail Ale DFT,4,32.0,0.0,32.0,0.0,2023-05-26
Ladie's Racerback Tank Top- Midnight Blue- XL,1,29.99,0.0,29.99,0.0,2023-05-26
Champ Logo Tee Vintage Black- XL,1,25.99,0.0,25.99,0.0,2023-05-26
All-Star Tee- 2XL,1,25.19,2.8,27.99,0.0,2023-05-26
Baseball Brim Cap,2,37.98,0.0,37.98,0.0,2023-05-26
Summer of Love Tee 2023- XL,1,28.99,0.0,28.99,0.0,2023-05-26
Champ Logo Tee Vintage Navy- S,1,25.99,0.0,25.99,0.0,2023-05-26
Maple Kings Snapback Cap,2,49.98,0.0,49.98,0.0,2023-05-26
Nike Therma Hoodie- M,1,65.0,0.0,65.0,0.0,2023-05-26
OC Champ Cap- Light Gray,2,49.98,0.0,49.98,0.0,2023-05-26
Primary Logo Tee- Navy- S,1,25.99,0.0,25.99,0.0,2023-05-26
Champ Logo Tee Vintage Black- M,1,25.99,0.0,25.99,0.0,2023-05-26
Retro Sunset,1,6.29,0.7,6.99,0.7,2023-05-26
White Replica Jersey- XL,1,80.0,0.0,80.0,0.0,2023-05-26
Champ Play Ball,1,3.49,1.5,4.99,0.38,2023-05-26
Large Champ Logo Stretch Fit Cap- Navy- XXS,1,23.99,6.0,29.99,0.0,2023-05-26
Hot Dog Trucker- Royal,2,49.98,0.0,49.98,0.0,2023-05-26
Vermont Tee- Dark Gray- L,1,22.99,0.0,22.99,0.0,2023-05-26
Retro Staple Crewneck- Heather White- M,1,38.99,0.0,38.99,0.0,2023-05-26
Fiddlehead IPA DFT,132,1056.0,0.0,1056.0,0.0,2023-05-26
Cracker Jacks,9,45.0,0.0,45.0,0.0,2023-05-26
14th Star Baseline,39,312.0,0.0,312.0,0.0,2023-05-26
Devil's Backbone Margarita,9,108.0,0.0,108.0,0.0,2023-05-26
Rescue Club IPA N/A,4,32.0,0.0,32.0,0.0,2023-05-26
Bottled Water,15,37.5,0.0,37.5,0.0,2023-05-26
Barefoot Chardonnay,2,16.0,0.0,16.0,0.0,2023-05-26
Finnish Long Drink,3,30.0,0.0,30.0,0.0,2023-05-26
Good Measure Cream Ale DFT,35,210.0,0.0,210.0,0.0,2023-05-26
Champ Logo Hoodie- Navy- L,2,94.98,5.0,99.98,0.0,2023-05-26
Powerade,18,55.3,1.58,56.88,5.95,2023-05-26
Double Hamburger,2,22.98,0.0,22.98,2.52,2023-05-26
Emp pep,5,27.0,0.0,27.0,3.0,2023-05-26
Cheese Pizza,66,713.46,0.0,713.46,78.54,2023-05-26
Full Pep Full Shroom,1,12.62,0.0,12.62,1.38,2023-05-26
Bottled Water,4,10.0,0.0,10.0,0.0,2023-05-26
Cider Can,19,152.0,0.0,152.0,0.0,2023-05-26
Devil's Backbone Margarita,11,132.0,0.0,132.0,0.0,2023-05-26
Fiddlehead IPA DFT,38,304.0,0.0,304.0,0.0,2023-05-26
Nutrl Watermelon Vodka,2,20.0,0.0,20.0,0.0,2023-05-26
14th Star Baseline,9,72.0,0.0,72.0,0.0,2023-05-26
Rescue Club IPA N/A,1,8.0,0.0,8.0,0.0,2023-05-26
White Claw Mango,2,16.0,0.0,16.0,0.0,2023-05-26
Cutwater Tiki Rum Punch,8,96.0,0.0,96.0,0.0,2023-05-26
Kona Golden Ale DFT,39,234.0,0.0,234.0,0.0,2023-05-26
Stella Can,2,16.0,0.0,16.0,0.0,2023-05-26
Barefoot Cabernet Sauvignon,1,8.0,0.0,8.0,0.0,2023-05-26
Finnish Long Drink,2,20.0,0.0,20.0,0.0,2023-05-26
Dugout Deck,2,34.0,0.0,34.0,0.0,2023-05-26
Dippin Dots,220,1373.52,12.48,1386.0,152.48,2023-05-26
Large Ice Cream,59,327.46,19.06,346.52,36.29,2023-05-26
Small Ice Cream,84,328.41,0.0,328.41,35.59,2023-05-26
Popcorn,2,7.22,0.0,7.22,0.78,2023-05-26
Yellow Scoop,4,0.0,0.0,0.0,0.0,2023-05-26
Lucky Row Scoop,9,0.0,0.0,0.0,0.0,2023-05-26
Emp chz,12,64.8,0.0,64.8,7.2,2023-05-26
"Footlong ""Monster"" Dog",63,305.79,7.41,313.2,33.96,2023-05-26
Pepperoni Pizza,62,782.44,0.0,782.44,85.56,2023-05-26
Mushroom Pizza,23,290.26,0.0,290.26,31.74,2023-05-26
Popcorn,39,140.79,0.0,140.79,15.21,2023-05-26
Veggie Burger,11,64.38,6.28,70.66,7.12,2023-05-26
Hamburger,20,135.0,0.0,135.0,15.0,2023-05-26
Bottled Water,95,214.7,0.0,214.7,22.8,2023-05-26
Deep River Chips,37,98.91,1.36,100.27,10.59,2023-05-26
Peanuts,22,79.42,0.0,79.42,8.58,2023-05-26
Cotton Candy,25,90.21,0.0,90.21,9.79,2023-05-26
Lemon Sorbet,2,7.22,0.0,7.22,0.78,2023-05-26
Fried Dough w/ Chicken,8,72.08,0.0,72.08,7.92,2023-05-26
Bottled Water,19,42.94,0.0,42.94,4.56,2023-05-26
Cotton Candy,10,36.1,0.0,36.1,3.9,2023-05-26
Fried Dough,110,671.16,22.02,693.18,74.34,2023-05-26
Fountain Soda,27,73.17,0.0,73.17,7.83,2023-05-26
Season Ticket Holder Soda,22,19.8,0.0,19.8,2.2,2023-05-26
Poutine w/ Chicken,12,140.64,0.0,140.64,15.36,2023-05-26
Boneless Wings & Fries,28,223.03,4.05,227.08,24.47,2023-05-26
Fries,31,125.86,0.0,125.86,13.64,2023-05-26
Peanuts,6,21.66,0.0,21.66,2.34,2023-05-26
Poutine,17,153.17,0.0,153.17,16.83,2023-05-26
Deep River Chips,1,2.71,0.0,2.71,0.29,2023-05-26
Popcorn,11,39.71,0.0,39.71,4.29,2023-05-26
Cracker Jacks,5,22.55,0.0,22.55,2.45,2023-05-26
Agrumata Italian Soda,6,24.36,0.0,24.36,2.64,2023-05-26
1/2 Pep.  1/2 Shroom,1,12.62,0.0,12.62,1.38,2023-05-26
Cedrata Italian Soda,6,24.36,0.0,24.36,2.64,2023-05-26
1/2 Chz 1/2 Pep,3,37.86,0.0,37.86,4.14,2023-05-26
Infant Alphabet Mascot Tee- 18 mo,1,15.99,0.0,15.99,0.0,2023-05-26
Nike Therma Hoodie- 2XL,2,130.0,0.0,130.0,0.0,2023-05-26
Champ Logo Tee Vintage Black- L,1,23.39,2.6,25.99,0.0,2023-05-26
Document Tee- Vintage Smoke- M,2,53.98,0.0,53.98,0.0,2023-05-26
Primary Logo Tee- Navy- L,3,77.97,0.0,77.97,0.0,2023-05-26
New Era Youth Maple Kings Classic Cap,1,18.99,0.0,18.99,0.0,2023-05-26
90's Retro Classic Script Hat- Navy,1,34.99,0.0,34.99,0.0,2023-05-26
Champ Logo Trucker- Khaki,2,49.98,0.0,49.98,0.0,2023-05-26
Youth Primary Logo Tee Pink-L,1,21.99,0.0,21.99,0.0,2023-05-26
Nike Dri-Fit Long Sleeve- Green- 2XL,1,42.0,0.0,42.0,0.0,2023-05-26
Maple Kings Youth Bolt Snapback,1,18.99,0.0,18.99,0.0,2023-05-26
OC Baseline Classic Champ Cap- Navy,4,95.96,0.0,95.96,0.0,2023-05-26
Champ Logo Tee Vintage Navy- M,1,25.99,0.0,25.99,0.0,2023-05-26
Glow In The Dark Souvenir Baseball,25,195.2,4.8,200.0,21.49,2023-05-26
Ladie's Blackbird Tank Top- Heather Navy- M,1,28.99,0.0,28.99,0.0,2023-05-26
White Souvenir Baseball,13,104.0,0.0,104.0,11.44,2023-05-26
Bumper Sticker,1,4.99,0.0,4.99,0.55,2023-05-26
VT Expos Stretch Fit Cap- S,2,59.98,0.0,59.98,0.0,2023-05-26
VLM Away Onfield Stretch Fit Cap- L,6,167.94,12.0,179.94,0.0,2023-05-26
OC Baseline Classic Hot Dog Cap- Royal,2,47.98,0.0,47.98,0.0,2023-05-26
Champ-ta Claus,2,31.98,0.0,31.98,3.52,2023-05-26
Small Baseball Card Pack,5,14.05,0.9,14.95,1.55,2023-05-26
OC Baseline Classic Expos Cap- Royal,1,23.99,0.0,23.99,0.0,2023-05-26
Green/Blue Plaid Baseball,3,24.0,0.0,24.0,2.64,2023-05-26
Youth Replica Home Jersey- L,2,120.0,0.0,120.0,0.0,2023-05-26
White/Silver Metallic Souvenir Baseball,5,40.0,0.0,40.0,4.4,2023-05-26
Youth Champ Logo Tee- Ash- S,4,87.96,0.0,87.96,0.0,2023-05-26
Retro Staple Crewneck- Heather White- L,2,77.98,0.0,77.98,0.0,2023-05-26
Champ Logo Pint Glass,2,23.98,0.0,23.98,2.64,2023-05-26
Champ Logo Hoodie- Royal-L,1,49.99,0.0,49.99,0.0,2023-05-26
Large Baseball Card Pack,6,56.95,2.99,59.94,6.27,2023-05-26
$0.25 Hot Dog Hysteria Replica Jersey- XL,1,80.0,0.0,80.0,0.0,2023-05-26
Ladie's Blackbird Tank Top- Heather Navy- L,1,28.99,0.0,28.99,0.0,2023-05-26
Vermont Lake Monsters,1,5.99,0.0,5.99,0.66,2023-05-26
Nutrl Watermelon Vodka,3,27.03,0.0,27.03,2.97,2023-05-26
Coke BTL,1,3.16,0.0,3.16,0.34,2023-05-26
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-05-26
Finnish Long Drink,5,45.05,0.0,45.05,4.95,2023-05-26
Peanuts,1,3.61,0.0,3.61,0.39,2023-05-26
Barefoot Pinot Grigio,1,7.21,0.0,7.21,0.79,2023-05-26
Fiddlehead IPA DFT,41,295.61,0.0,295.61,32.39,2023-05-26
Rescue Club IPA N/A,1,7.21,0.0,7.21,0.79,2023-05-26
Diet Coke BTL,3,9.48,0.0,9.48,1.02,2023-05-26
Plastic hard hat - L,5,25.0,0.0,25.0,2.75,2023-05-26
Replica twill cap,7,163.14,4.79,167.93,0.0,2023-05-26
Replica Expos Jersey- XL,1,75.0,0.0,75.0,0.0,2023-05-26
VT Expos Logo Baseball,2,16.0,0.0,16.0,1.76,2023-05-26
VT Expos Stretch Fit Cap- L,4,119.96,0.0,119.96,0.0,2023-05-26
Youth Primary Logo Tee Pink-S,2,43.98,0.0,43.98,0.0,2023-05-26
VLM Home Onfield Stretch Fit Cap- M,7,206.93,3.0,209.93,0.0,2023-05-26
Hot Dog Tee- Vintage Yellow- M,1,25.99,0.0,25.99,0.0,2023-05-26
OC Baseline Classic 802 Cap- Navy,1,23.99,0.0,23.99,0.0,2023-05-26
LM Shot glass,2,13.98,0.0,13.98,1.54,2023-05-26
Primary Logo Tee- Navy- M,3,77.97,0.0,77.97,0.0,2023-05-26
6 Sticker Pack,2,10.2,1.8,12.0,1.12,2023-05-26
Dig In Bracelet,3,15.0,0.0,15.0,1.65,2023-05-26
VLM Tote Bag,1,5.0,0.0,5.0,0.55,2023-05-26
Youth Champ Logo 3/4 Raglan Tee- S,1,25.99,0.0,25.99,0.0,2023-05-26
Retro Staple Crewneck- Heather White- XL,1,38.99,0.0,38.99,0.0,2023-05-26
Foam hotdog Hats,7,69.93,0.0,69.93,7.7,2023-05-26
VLM Away Onfield Stretch Fit Cap- S,5,149.95,0.0,149.95,0.0,2023-05-26
Champ Logo Hoodie- Graphite Heather- XL,1,49.99,0.0,49.99,0.0,2023-05-26
Champ Logo Hoodie- Graphite Heather- 3XL,1,49.99,0.0,49.99,0.0,2023-05-26
Pen,7,13.93,0.0,13.93,1.54,2023-05-26
Champ Logo Hoodie- Navy- M,2,94.98,5.0,99.98,0.0,2023-05-26
Original Clean-Up,2,57.98,0.0,57.98,0.0,2023-05-26
Primary Logo Tee- Gray- L,1,25.99,0.0,25.99,0.0,2023-05-26
OC Baseline All-Star Gray,1,23.99,0.0,23.99,0.0,2023-05-26
802vtrucker cap,1,24.99,0.0,24.99,0.0,2023-05-26
Champ Logo Trucker- Royal Blue,1,19.99,5.0,24.99,0.0,2023-05-26
Champ Tattoo,8,3.8,0.2,4.0,0.41,2023-05-26
Maple Kings Stretch Fit Cap- Dark Navy- XL,1,29.99,0.0,29.99,0.0,2023-05-26
Nike Golf Victory Polo- Black- L,1,49.99,0.0,49.99,0.0,2023-05-26
VLM Home Onfield Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-05-26
Cross Bone Cap,5,144.95,0.0,144.95,0.0,2023-05-26
VT Expos Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-05-26
Vermont Lake Monsters Shield,1,3.5,1.49,4.99,0.39,2023-05-26
VLM #1 Foam Finger- Blue,1,5.99,0.0,5.99,0.66,2023-05-26
Document Tee- Vintage Smoke- 3XL,1,26.99,0.0,26.99,0.0,2023-05-26
Champ Logo Keychain,2,12.0,0.0,12.0,1.32,2023-05-26
All-Star Hoodie Gray- XL,1,44.99,5.0,49.99,0.0,2023-05-26
3 sticker pack,1,4.2,1.8,6.0,0.46,2023-05-26
New Duds Maple Kings Primary Tee- Vintage Black- L,1,25.99,0.0,25.99,0.0,2023-05-26
Maple Kings Youth Infielder Cap,1,16.99,0.0,16.99,0.0,2023-05-26
Gear Tee- Heather Kelly Green- L,1,28.99,0.0,28.99,0.0,2023-05-26
All-Star Trucker Royal,3,72.47,2.5,74.97,0.0,2023-05-26
VLM Foam Claw,2,17.98,0.0,17.98,1.98,2023-05-26
90's Retro Staple Hat- White,1,34.99,0.0,34.99,0.0,2023-05-26
VLM Dog Leash- L,1,19.99,0.0,19.99,2.2,2023-05-26
VT State Patch,2,8.0,0.0,8.0,0.88,2023-05-26
Youth Champ Logo Hooded Sweatshirt- Royal- M,1,39.99,0.0,39.99,0.0,2023-05-26
Eye Love VT,3,18.87,2.1,20.97,2.08,2023-05-26
Nike Quarter Zip- Black-3XL,1,65.0,0.0,65.0,0.0,2023-05-26
VLM #1 Foam Finger- Green,3,17.97,0.0,17.97,1.98,2023-05-26
White Replica Jersey- S,1,80.0,0.0,80.0,0.0,2023-05-26
VLM Home Onfield Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-05-26
Soft Champ Logo Baseball,5,29.95,0.0,29.95,3.3,2023-05-26
Document Tee- Vintage Smoke- S,1,26.99,0.0,26.99,0.0,2023-05-26
VLM Home Onfield Stretch Fit Cap- XS,1,29.99,0.0,29.99,0.0,2023-05-26
Nike Performance Tee- Navy- 2XL,1,31.49,3.5,34.99,0.0,2023-05-26
OC Walk Off Diamond Patch Black Cap,1,24.3,2.69,26.99,0.0,2023-05-26
Toddler daisy cap,3,53.17,3.8,56.97,0.0,2023-05-26
$0.25 Hot Dog Hysteria Replica Jersey- M,1,80.0,0.0,80.0,0.0,2023-05-26
Maple Syrup,2,10.0,0.0,10.0,1.1,2023-05-26
VT Expos Stretch Fit Cap- XXS,1,29.99,0.0,29.99,0.0,2023-05-26
Youth replicia twill hat,1,18.99,0.0,18.99,0.0,2023-05-26
VLM Lanyard,2,13.5,0.0,13.5,1.5,2023-05-26
Champ Plush Doll,15,224.85,0.0,224.85,24.75,2023-05-26
Citizen Cider DFT,19,136.99,0.0,136.99,15.01,2023-05-26
Maple Kings Stretch Fit Cap- Dark Navy- M,1,29.99,0.0,29.99,0.0,2023-05-26
VLM Away Onfield Stretch Fit Cap- M,3,89.97,0.0,89.97,0.0,2023-05-26
Gear Tee- Heather Kelly Green- M,1,26.09,2.9,28.99,0.0,2023-05-26
Clean-Up Cap VT State,3,86.97,0.0,86.97,0.0,2023-05-26
Centennial Field Sunset,3,16.17,1.8,17.97,1.78,2023-05-26
OC Camo Mesh Trucker,7,163.13,4.8,167.93,0.0,2023-05-26
Replica Expos Jersey- M,1,75.0,0.0,75.0,0.0,2023-05-26
Ladie's Blackbird Tank Top- Heather Navy- XL,1,23.19,5.8,28.99,0.0,2023-05-26
Tie Dyed Souvenir Baseball,9,72.0,0.0,72.0,7.92,2023-05-26
Champ Logo Hoodie- Graphite Heather- M,1,49.99,0.0,49.99,0.0,2023-05-26
White Replica Jersey- M,1,80.0,0.0,80.0,0.0,2023-05-26
VT Champ Logo Earrings- Green,1,10.0,0.0,10.0,1.1,2023-05-26
Primary Logo Tee- Gray- M,1,25.99,0.0,25.99,0.0,2023-05-26
VT Expos Stretch Fit Cap- M,3,89.97,0.0,89.97,0.0,2023-05-26
Magic Wands,3,23.97,0.0,23.97,2.64,2023-05-26
Bottled Water,1,2.26,0.0,2.26,0.24,2023-05-26
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-05-26
OC Baseline Classic Expos Cap- Royal,4,95.96,0.0,95.96,0.0,2023-05-27
3/4 Raglan Expos Tee- Gray/Navy- XXL,1,26.99,0.0,26.99,0.0,2023-05-27
Summer of Love Tee 2023- 2XL,1,28.99,0.0,28.99,0.0,2023-05-27
Primary Logo Tee- Gray- S,1,25.99,0.0,25.99,0.0,2023-05-27
VT State Patch,2,8.0,0.0,8.0,0.88,2023-05-27
